WorkshopDescriptionId,WorkshopId,FestivalId,Name,Difficulty,Capacity,PriorKnowledgeNeeded,Duration
6,153,460,Dark Chocolate Covered Raisins,beginner,34,true,12
1,154,676,Artisan Bread Loaf,advanced,68,true,3
5,155,135,Hummus,advanced,23,true,3
1,156,660,Pet Grooming Brush,intermediate,47,false,4
6,157,135,Oven-Baked Parmesan Zucchini,advanced,27,false,1.5
1,158,782,Ground Turkey,beginner,2,false,9.5
2,159,850,Peach Salsa,intermediate,100,false,1.5
2,160,19,Handmade Leather Journal,beginner,11,true,4
5,161,683,Pumpkin Spice Granola,intermediate,85,true,3
1,162,945,Balsamic Vinegar,intermediate,7,false,3
3,163,239,Banana Peanut Butter Smoothie,beginner,88,false,3
1,164,176,Creamy Ranch Dressing,advanced,42,false,3
4,165,797,Solar Charger,advanced,64,true,13
3,166,777,Pet Grooming Kit,intermediate,16,false,3
1,167,15,Coffee Maker,intermediate,85,true,3
5,168,773,Yoga Wheel,beginner,85,false,12
4,169,235,Organic Baby Carrots,intermediate,54,true,1.5
2,170,712,Sriracha Chili Sauce,advanced,95,true,3
5,171,808,Cucumber Lime Sparkling Water,advanced,40,true,3
4,172,232,Tactical Backpack,intermediate,58,true,3
4,173,277,Garden Tool Set,beginner,38,false,1.5
2,174,404,Organic Coconut Flour,advanced,78,true,3
1,175,66,Stylish Wide-Leg Trousers,advanced,40,false,1.5
3,176,211,Smart WiFi Plug,beginner,88,false,3
5,177,738,Casual Long Cardigan,beginner,68,false,3
4,178,900,Shredded Cheese,beginner,47,false,3
3,179,947,Vegan Protein Powder,intermediate,32,true,16
1,180,421,Insulated Lunch Bag,advanced,97,false,3
1,181,529,Suction Cup Hooks,beginner,10,true,4
3,182,884,Herb Seasoned Croutons,beginner,46,false,1.5
3,183,753,Electric Stool Heater,advanced,5,true,4
1,184,243,Portable Pet Bathing Tool,intermediate,13,false,3
2,185,348,Fresh Basil Pesto,beginner,52,true,11
3,186,119,Yoga Mat,advanced,61,false,5
3,187,641,Cat Scratching Post with Toys,beginner,72,false,12
3,188,672,Sculpting Kit,beginner,3,false,5
4,189,786,Whole Grain Cereal,advanced,94,true,3
1,190,982,LED Camping Lantern with USB Charging,advanced,62,false,3
1,191,355,Portable Charger with Solar Panel,advanced,32,true,3
5,192,143,Kale Salad Kit,advanced,66,false,1.5
4,193,288,Gardening Gloves,beginner,89,false,3
1,194,606,LED Flashlight,intermediate,36,false,3
3,195,152,Self-Cleaning Cat Litter Box,advanced,71,true,3
2,196,159,Heavy Duty Gardening Tool Set,advanced,90,true,3
5,197,466,Travel Yoga Mat,advanced,50,true,5
3,198,180,Home Cleaning Robot,advanced,31,true,4
5,199,5,Glass Food Containers,beginner,83,false,1.5
3,200,265,Fitness Resistance Bands,intermediate,73,true,3
5,201,229,Spicy Italian Sausage,beginner,58,true,3
1,202,699,Herb Drying Rack,beginner,11,true,3
1,203,623,Yoga Mat Carrier,beginner,92,false,3
3,204,148,Educational STEM Kit,beginner,92,false,3
4,205,62,Cauliflower Gnocchi,advanced,38,true,1.5
4,206,625,Lemon Lime Sparkling Water,intermediate,38,true,3
1,207,209,Cold Brew Coffee Maker,beginner,69,true,3
6,208,84,Portable Refrigerator Freezer,advanced,44,false,3
3,209,249,Gaming Headset,advanced,68,true,3
5,210,159,Blackberry Compote,beginner,1,false,3
6,211,92,Wall-Mounted Wine Rack,advanced,91,true,3
1,212,448,Portable Air Conditioner,beginner,8,true,1.5
3,213,486,Lemon Lime Sparkling Water,beginner,99,false,3
6,214,651,Herbed Couscous,beginner,35,true,1.5
3,215,658,Kale Caesar Salad Kit,beginner,6,true,4
2,216,998,Wireless Charging Station,beginner,5,true,3
2,217,419,Chocolate Coconut Protein Balls,advanced,73,true,1.5
6,218,666,Ice Cream Maker,advanced,82,false,5
6,219,637,Rainbow Veggie Chips,intermediate,11,true,1.5
1,220,18,Honey Butter Popcorn,beginner,80,false,3
4,221,246,Eggs (dozen),advanced,10,true,3
2,222,464,Cocoa Powder,intermediate,43,false,3
6,223,172,Spicy Vegetable Sushi Rolls,advanced,95,false,1.5
3,224,482,Nature Explorer Lens Kit,intermediate,39,true,1.5
3,225,557,Wireless Earbuds Case,beginner,13,true,1.5
1,226,721,Sunflower Seeds,beginner,39,true,3
5,227,500,Handcrafted Wooden Coasters,intermediate,33,true,19
2,228,477,Insulated Wine Tote,intermediate,72,false,3
1,229,757,Portable Speaker Stand,advanced,31,true,15
3,230,71,Waffle Maker,advanced,62,false,1.5
6,231,3,Teriyaki Stir-Fry Sauce,beginner,53,false,4.5
6,232,797,Coconut Curry Lentils,beginner,64,true,1.5
1,233,346,Natural Soy Candles,advanced,84,false,3
4,234,37,Crispy Potato Tots,intermediate,36,false,3
1,235,682,Hand Mixer,advanced,36,true,3
4,236,776,Sriracha Honey Glaze,intermediate,96,true,4
6,237,213,Travel Document Organizer,beginner,32,true,3
3,238,506,Ergonomic Mouse Pad with Wrist Support,intermediate,88,true,3
3,239,90,Himalayan Salt Grinder,advanced,13,true,4
2,240,93,Silicone Ice Cube Tray,beginner,25,false,3
3,241,936,Thai Peanut Noodles,beginner,54,true,4
2,242,263,Coconut Milk Yogurt,intermediate,88,false,11
1,243,503,Mini Indoor Hydroponic Garden,advanced,32,false,9.5
4,244,343,Harvest Grain Salad,beginner,84,true,3
2,245,852,Lemon Dill Chicken Skewers,intermediate,87,false,3
5,246,273,Italian Sausage and Peppers,beginner,69,false,3
5,247,578,Self-Watering Planter,intermediate,40,true,1.5
1,248,317,Roasted Garlic Aioli,intermediate,89,true,4
4,249,657,Two-Tone Windbreaker,intermediate,26,true,16
3,250,445,Compact Hair Dryer,advanced,59,false,3
4,251,436,LED Desk Light,beginner,32,true,10
2,252,469,Chili Lime Shrimp,beginner,48,false,5
4,253,635,Pasta Sauce Mix,intermediate,2,false,3
2,254,296,Almond Flour Pancake Mix,advanced,86,false,5
3,255,70,Wireless Game Controller,beginner,96,true,3.5
4,256,564,Honey Garlic Shrimp,advanced,85,true,1.5
2,257,314,BBQ Sauce,advanced,37,true,1.5
2,258,276,Pumpkin Ice Cream,beginner,53,false,1.5
4,259,168,Pumpkin Spice Latte Mix,intermediate,44,true,4
2,260,337,Savory Trail Mix,beginner,98,true,9.5
5,261,319,Apple Juice,advanced,35,false,5
2,262,468,Chic Jumpsuit,advanced,98,true,1.5
3,263,157,Garlic Butter Shrimp,advanced,6,true,3
5,264,143,Cat Scratching Post with Toys,beginner,32,false,6
1,265,996,Gluten-Free Bread,advanced,99,true,20
5,266,691,Honey Garlic Sauce,advanced,35,false,1.5
4,267,862,Cherry Almond Protein Bar,advanced,2,false,3
6,268,840,Eco-Friendly Cleaning Cloths,intermediate,7,false,4
1,269,603,Herbed Mushroom Risotto,beginner,46,false,3
3,270,728,Chickpeas,intermediate,90,true,3
1,271,105,Fresh Basil,beginner,91,false,3
1,272,923,Bluetooth Shower Speaker,intermediate,75,false,3
6,273,468,Sweet Chili Dipping Sauce,intermediate,89,false,4
2,274,756,Mediterranean Couscous,beginner,60,false,1.5
1,275,147,Scent Diffuser Oil,beginner,73,false,12
3,276,983,Spaghetti Squash,beginner,19,true,1.5
4,277,641,Travel Luggage Scale,beginner,71,true,3
5,278,36,Aged White Cheddar Popcorn,advanced,24,true,3
1,279,185,Gluten-Free Pancake Mix,advanced,13,true,3
4,280,286,Car Trash Can,beginner,58,true,1.5
4,281,815,Chili Beans (canned),intermediate,50,false,13
4,282,255,Sweet Chili Sauce,intermediate,96,false,1.5
3,283,570,Overnight Duffle Bag,intermediate,22,true,4
5,284,786,Garlic Herb Seasoning,advanced,20,true,3
5,285,547,Maple Oatmeal,intermediate,42,true,4
5,286,250,Multi-Purpose Scissors,beginner,18,false,12
1,287,647,Solar String Lights,intermediate,98,false,1.5
1,288,322,Classic Chicken Noodle Soup,advanced,78,true,3
2,289,501,Magnetic Phone Car Mount,advanced,30,false,12
3,290,115,Ice Pack,beginner,82,false,19
1,291,98,Wireless Printer,beginner,31,false,4
6,292,622,Himalayan Pink Salt,advanced,40,false,14
1,293,379,Mini Electric Kettle,beginner,90,true,4
4,294,986,Classic Caesar Salad Kit,advanced,44,true,1.5
3,295,400,Organic Coconut Sugar,advanced,8,true,3
4,296,185,Organic Cucumber,advanced,5,false,4
3,297,280,Outdoor Camping Hammock,beginner,39,true,3
4,298,326,Graphic Sweatshirt,beginner,3,true,3
3,299,97,Portable Solar Camp Shower,intermediate,83,false,9.5
5,300,867,Wireless Security Camera,advanced,26,false,1.5
4,301,828,Vegetable Medley,beginner,93,true,3
1,302,420,Slim Wallet,intermediate,8,false,3
2,303,842,Honey Garlic Chicken,intermediate,2,true,3
5,304,539,Lentil Soup (canned),beginner,1,false,3
4,305,176,Garlic Herb Marinade,advanced,34,false,3
6,306,865,Spicy Salsa Verde,intermediate,50,true,3
3,307,316,Italian Marinara Sauce,advanced,13,false,1.5
4,308,516,Pet Hair Removal Brush,advanced,78,false,4
1,309,482,Interactive Robot Toy,beginner,27,false,12
4,310,640,Rice Pudding,intermediate,73,false,3
6,311,157,Nut Mix,intermediate,92,false,3
4,312,341,Bamboo Bathtub Caddy,intermediate,65,false,12
5,313,881,Snap-On Tupperware Set,intermediate,83,false,5
5,314,971,Eggs (dozen),beginner,51,false,3
5,315,916,Pet Leash,beginner,51,true,1.5
1,316,461,Durable Hiking Boots,intermediate,79,true,1.5
1,317,732,Cheddar Cheese Slices,intermediate,40,true,4
3,318,89,Cold Brew Coffee Maker,beginner,34,false,3
6,319,583,Herbal Garden Starter Kit,intermediate,33,true,1.5
3,320,75,Vegetable Stir Fry Mix,intermediate,22,false,3
6,321,678,Customizable Wall Calendar,beginner,75,false,4
5,322,403,Microfiber Cleaning Cloths,beginner,17,false,4
2,323,2,Sushi Roll Kit,beginner,91,true,1.5
5,324,549,Herbal Tea Set,intermediate,31,false,3
5,325,452,Sweet Potato Tots,advanced,35,false,1.5
6,326,349,Portable Hand Warmer,beginner,23,true,3
5,327,852,Smart Home Hub,beginner,41,false,17
1,328,241,Travel Pillow,advanced,11,false,3
6,329,209,Classic Pumps,beginner,56,false,3
1,330,647,USB-C Hub,beginner,92,false,3
5,331,514,Knitted Infinity Scarf,intermediate,31,false,18
6,332,261,Digital Food Thermometer,beginner,31,true,1.5
6,333,940,Maple Breakfast Sausage,beginner,89,true,1.5
2,334,126,Garlic Parmesan Wings,intermediate,77,false,3
5,335,989,Teriyaki Chicken Wings,beginner,29,false,1.5
2,336,689,Banana Nut Oatmeal Cups,advanced,34,false,12
2,337,261,Adjustable Pet Feeder,beginner,9,false,3
3,338,100,Smartphone Photography Ring Light,beginner,67,true,1.5
1,339,456,Beard Grooming Kit,advanced,93,false,1.5
2,340,736,Luxury Bath Salts,advanced,64,false,4
6,341,709,Lemon Herb Quinoa,advanced,41,false,4
3,342,608,Smart LED Desk Lamp,intermediate,47,true,3
3,343,695,Home Brewing Starter Kit,beginner,81,false,3
6,344,362,Savory Oats,intermediate,48,true,4
5,345,255,Tomato Basil Pasta Sauce,advanced,12,true,3
1,346,384,Cordless Water Flosser,advanced,25,true,4
2,347,482,Vanilla Almond Granola,beginner,9,false,11
1,348,261,Pest Control Traps,beginner,72,true,3
1,349,958,Scent Diffuser,beginner,66,false,3
5,350,248,Vegan Chocolate Cake Mix,beginner,37,true,3.5
2,351,566,Portable SSD,beginner,13,true,3
5,352,526,Spicy Vegetable Sushi Rolls,beginner,86,false,3
1,353,521,Wireless Earbuds,advanced,17,false,20
6,354,186,Laptop Sleeve,intermediate,70,false,3
1,355,884,Almond Flour Bread Mix,intermediate,20,false,17
1,356,663,Cheesy Broccoli Soup Mix,advanced,84,false,3
2,357,845,Sesame Garlic Noodles,advanced,29,false,3
5,358,618,Turkey Bacon,beginner,40,false,3
6,359,749,Kids' Educational Tablet,beginner,37,true,5
3,360,621,Apple Cinnamon Granola,intermediate,80,true,3
5,361,417,Chicken Breasts,beginner,85,false,3
1,362,458,Basil-infused Olive Oil,advanced,38,false,3
1,363,109,Self-Watering Planters,advanced,4,false,3
3,364,802,Baked Falafel Balls,intermediate,10,false,3
5,365,287,Cheesy Cauliflower Bake,intermediate,50,false,3
4,366,476,Two-Tone Windbreaker,beginner,22,true,5.5
3,367,229,Herbal Garden Starter Kit,intermediate,65,false,3
2,368,270,High-Speed Hand Blender,beginner,59,true,1.5
6,369,640,Kids' Trampoline,beginner,38,false,3
3,370,594,Walnut Halves,beginner,13,false,3
4,371,212,Balsamic Glazed Brussels Sprouts,intermediate,22,true,4
2,372,99,Gluten-Free Biscuits,beginner,68,false,4
3,373,751,Fitness Tracker with Heart Rate Monitor,advanced,71,false,5
1,374,840,Spicy Chicken Wings,intermediate,46,true,3
6,375,287,Lockable Bicycle Chain,beginner,60,false,4
5,376,696,Compressed Towel Tablets,advanced,88,true,1.5
1,377,997,Chipotle Black Bean Burger,intermediate,38,true,1.5
3,378,991,Electric Griddle with Removable Plates,intermediate,15,true,3
6,379,275,Apple Cinnamon Granola,advanced,91,true,1.5
6,380,118,Mushroom Soup (canned),beginner,24,false,4
4,381,666,Sweet Potatoes,beginner,71,true,3
3,382,929,Outdoor String Lights,advanced,21,false,4
4,383,355,Spinach and Feta Stuffed Chicken Breast,beginner,90,false,1.5
2,384,530,Honey Graham Crackers,intermediate,61,true,4
2,385,823,Safety First Aid Kit,intermediate,59,true,1.5
1,386,871,Curried Lentil Salad,beginner,37,false,4.5
2,387,281,Baked Falafel Balls,advanced,96,false,12
3,388,646,Sporty Cap,beginner,38,false,1.5
5,389,376,Oven-Baked Chicken Tenders,beginner,70,false,3
1,390,259,Toasted Coconut Granola,intermediate,1,true,3
1,391,938,Herbed Chicken Breast,advanced,67,true,1.5
4,392,16,Cajun Seasoning,advanced,79,false,3
1,393,91,Dark Chocolate Tart,intermediate,13,true,3
3,394,926,Honey Sriracha Chicken Bites,advanced,18,true,3
2,395,362,Adjustable Pedicure Footrest,advanced,29,false,1.5
1,396,643,Sweet Chili Thai Sauce,advanced,37,false,3
3,397,420,Dog Car Seat Cover,beginner,54,false,1.5
4,398,880,Greek Yogurt,beginner,89,false,3
3,399,533,Homestyle Chicken Noodle Soup,beginner,99,false,3
1,400,285,Yoga Blocks,beginner,90,false,10
2,401,124,Classic Slim Fit Shirt,intermediate,70,true,4
6,402,25,Slim Wallet,intermediate,66,true,3
4,403,101,Watercolor Paint Set,beginner,81,true,3
5,404,33,Smartphone Car Mount with Wireless Charging,intermediate,73,false,3
4,405,174,Portable Air Purifier,advanced,45,false,1.5
6,406,411,Solar Garden Lights,intermediate,90,false,3
3,407,327,Vegetable Curry,intermediate,57,true,1.5
3,408,957,Sporty Leggings,intermediate,27,false,11
1,409,929,Travel Shoe Bags Set,intermediate,3,true,1.5
6,410,566,High-Speed Hand Blender,advanced,57,false,1.5
3,411,870,Canned Coconut Milk,advanced,70,true,3
4,412,156,Maple Bacon Potato Chips,beginner,39,true,1.5
6,413,101,Chocolate Mint Thins,beginner,78,true,3
3,414,99,Grilled Veggie Burgers,intermediate,20,false,3
1,415,312,Woven Storage Baskets,advanced,12,true,1.5
1,416,106,Coconut Chia Pudding,beginner,65,false,3
3,417,948,Cinnamon Spiced Almonds,intermediate,63,true,3
4,418,237,Peach Green Tea,beginner,8,false,3
3,419,348,Lentil Pasta,beginner,13,true,4
1,420,383,Coconut Cream Pie Yogurt,advanced,57,true,12
2,421,116,Reusable Coffee Filter,intermediate,84,false,3
2,422,718,Surimi Crab Sticks,advanced,89,false,11
3,423,480,Cream Cheese,intermediate,27,true,3
2,424,174,Organic Lentil Soup,intermediate,5,true,3
4,425,846,Inflatable Party Cooler,beginner,57,false,4
6,426,416,Vegetable Fried Rice Mix,intermediate,94,false,3
6,427,12,Cotton Quilted Throw Blanket,advanced,17,true,1.5
5,428,684,Chocolate Almond Milk,advanced,93,true,3
4,429,528,Organic Black Beans,beginner,84,true,1.5
2,430,496,Baked Falafel Balls,beginner,32,true,3
6,431,620,LED Makeup Mirror,intermediate,43,true,3
4,432,556,Italian Pasta,beginner,93,false,5
3,433,516,Coffee Maker,beginner,4,true,2.5
2,434,736,Stainless Steel Water Pitcher,advanced,87,true,1.5
5,435,843,Kids' Gardening Kit,intermediate,74,true,3
1,436,345,Electric Nail File Kit,intermediate,44,false,4
1,437,158,Berries Medley,beginner,62,false,3
6,438,130,Antique Style Clock,intermediate,36,true,1.5
2,439,321,Kids' Dinosaur-Themed Lunchbox,advanced,98,true,3
4,440,209,Almond Joy Bars,advanced,2,false,4
4,441,111,Non-Stick Grill Mat,intermediate,15,false,3
3,442,741,Plant Growing Kit,advanced,40,false,10
1,443,243,Plant Watering Spikes,intermediate,71,true,1.5
3,444,918,Dog Collar,beginner,32,false,4
4,445,899,Watercolor Brush Pens,advanced,48,false,4
4,446,446,Sweet Potato and Chickpea Bowl,beginner,7,true,3
3,447,716,Wireless Game Controller,beginner,62,false,18
5,448,425,Coconut Chia Pudding,advanced,67,false,3
4,449,877,Elegant Lace Dress,advanced,93,true,3
1,450,664,Thyme,intermediate,27,false,4
2,451,190,Stylish Combat Boots,intermediate,46,false,4
5,452,589,Air Fryer Oven,intermediate,41,true,3
5,453,865,Fresh Basil,beginner,62,false,1.5
2,454,522,Electric Wine Opener,intermediate,30,true,3
1,455,473,Sports Water Bottle with Infuser,advanced,32,true,3
4,456,934,Balsamic Salad Dressing,intermediate,44,true,4
6,457,710,Granola Cereal,beginner,61,false,3
4,458,196,Maple Breakfast Sausage,beginner,71,false,3
4,459,621,Kids' Dinosaur-Themed Lunchbox,intermediate,52,true,1.5
2,460,713,Jump Rope with Counter,intermediate,93,false,3
6,461,148,Chocolate Raspberry Tart,advanced,62,true,3
5,462,686,Herbed Couscous,intermediate,60,false,3
4,463,417,Dog Collar,intermediate,39,true,1.5
1,464,955,Car Diagnostic Scanner,advanced,91,true,3
5,465,558,Honey BBQ Riblets,advanced,30,false,1.5
1,466,549,Smartphone Projector Kit,advanced,68,true,3
5,467,349,Snack Container Set,intermediate,2,true,5
5,468,361,Compact Dishwasher,beginner,30,false,3
2,469,677,Ramen Noodle Soup Cups,advanced,1,false,11
4,470,553,Puzzle 3D Model Kit,intermediate,41,true,4
1,471,398,LED Strip Lights with Remote Control,beginner,12,true,3
3,472,821,Gardening Kneeler and Seat,advanced,8,true,1.5
1,473,204,Solar Charger,intermediate,28,true,10
5,474,141,Spicy Salsa Verde,advanced,65,true,17
6,475,216,Travel Size Toiletry Bottles,beginner,44,false,3
5,476,114,Caraway Rye Bread,beginner,59,true,3
1,477,602,Vegan Taco Seasoning,intermediate,26,false,3
3,478,291,Granola Clusters,advanced,32,false,1.5
6,479,148,Magnetic Phone Car Mount,intermediate,12,true,3
2,480,844,Teriyaki Chicken Skewers,advanced,71,true,3
1,481,697,Mango Chunks,intermediate,69,false,1.5
5,482,467,Creamy Tomato Basil Soup,beginner,82,true,16
5,483,55,Cat Scratching Post with Toys,advanced,86,false,4
6,484,825,Fitness Activity Journal,advanced,61,true,1.5
4,485,372,Organic Sweet Potatoes,advanced,73,true,3
